citylocation,diverse_industries
Bangalore,190
Mumbai,161
"New Delhi",140
Gurgaon,91
Hyderabad,31
Chennai,29
Pune,28
Noida,27
Ahmedabad,14
Jaipur,11
Kolkata,9
Chandigarh,8
Goa,6
Vadodara,6
"NA(Not Available)",4
Indore,4
Singapore,4
Delhi,3
Coimbatore,3
Kanpur,3
"Pune / USA",3
Gwalior,2
Kochi,2
"Bangalore / SFO",2
"Bangalore/ Bangkok",2
Bhopal,2
Trivandrum,2
Udupi,2
USA/India,2
"Dallas / Hyderabad",1
Belgaum,1
Goa/Hyderabad,1
"Gurgaon / SFO",1
Hubli,1
Hyderabad/USA,1
"India / USA",1
London,1
Lucknow,1
Missourie,1
"Mumbai / Global",1
"Mumbai / NY",1
"Mumbai / UK",1
Kozhikode,1
Nagpur,1
Kerala,1
"New Delhi / California",1
"New Delhi / USA",1
"New Delhi/ Houston",1
"New York/ India",1
Karur,1
"Noida / Singapore",1
Panaji,1
"Bangalore / Palo Alto",1
"Pune / Dubai",1
"Pune / Singapore",1
"Bangalore / San Mateo",1
"Bangalore / USA",1
"Seattle / Bangalore",1
"SFO / Bangalore",1
Siliguri,1
Agra,1
Surat,1
Pune/Seattle,1
Udaipur,1
Boston,1
USA,1
"Chennai/ Singapore",1
Jodhpur,1
Varanasi,1
