citylocation,industryvertical,total_funding
Bangalore,"Consumer Internet",31026146970
Mumbai,"Consumer Internet",22654613580
Bangalore,Technology,14552057710
Gurgaon,"Consumer Internet",12995213000
Mumbai,eCommerce,11263352640
Bangalore,eCommerce,10929015256
"New Delhi","Consumer Internet",8774261430
Gurgaon,eCommerce,8354838000
Mumbai,Technology,8335550580
Pune,Technology,5662755000
Hyderabad,Technology,3646360950
"New Delhi",eCommerce,3535980900
Ahmedabad,"Consumer Internet",3153376500
Noida,"Consumer Internet",3142547000
"New Delhi",Logistics,2958200000
"New Delhi","Online budget hotel chain",2883600000
Chennai,Technology,2353785000
"New Delhi",Technology,2235729575
Chennai,"Consumer Internet",2019663500
Pune,"QSR Chain",1922400000
Gurgaon,"Logistics Services Provider",1922400000
Bangalore,"Cab Booking app platform",1922400000
Gurgaon,"Automated Storage & Warehousing Solution",1922400000
Gurgaon,"Ethnic Beverages manufacturer",1922400000
"India / USA","Big Data & Analytics platform",1922400000
Mumbai,"Fine Dining Restaurant Chain",1922400000
Mumbai,Logistics,1866540000
Chennai,"Online Classifieds & Listings",1794240000
Pune,eCommerce,1766617630
"New Delhi","Education Content Provider",1730160000
Gurgaon,Logistics,1716950000
Bangalore,Healthcare,1700230000
Bangalore,"Home services marketplace",1698120000
Noida,Technology,1679883000
Bangalore,"Online Freight Services Aggregator",1602000000
Gurgaon,"Mobile Services Marketplace",1602000000
Mumbai,"Payments Solution platform",1602000000
Bangalore,"Mobile based PoS solution",1602000000
Chennai,"Financial Inclusion platform",1602000000
"NA(Not Available)","Mobile Point of Sale payment solution",1602000000
Gurgaon,"Digital / Mobile Wallet",1602000000
Gurgaon,"Restaurant Reviews",1602000000
Mumbai,Healthcare,1541935000
Noida,eCommerce,1453960000
"New Delhi","Food & Beverage",1412030000
Hyderabad,"Consumer Internet",1378669560
Mumbai,"Tele-Shopping / eCommerce",1377720000
Gurgaon,Technology,1375117500
Gurgaon,"App based Bus Pooling Services",1281600000
"New Delhi","Online Wedding Marketplace",1281600000
Gurgaon,"Delivery & Logistics Service provider",1281600000
Mumbai,"engineering services company",1281600000
Bangalore,"Online Furniture Marketplace",1281600000
Noida,"News Aggregator mobile app",1281600000
Bangalore,"Clinical Genomics Provider",1281600000
Mumbai,"Hyperlocal Shopping App",1281600000
Mumbai,Education,1275721000
Mumbai,Others,1275680000
Mumbai,"Premium Loyalty Rewards Point Management",1239948000
Bangalore,"Online Food Delivery",1153440000
Mumbai,"Ethnic Product eCommerce",1153440000
Mumbai,Finance,1072000000
USA/India,"Efficient Energy Management platform",1063728000
Bangalore,"Online Food Ordering",1057320000
Bangalore,"Online Jewellery Store",1038096000
"New Delhi","Hyper-Local Ecommerce",1025280000
"New Delhi","Used Vehicle Marketplace",1025280000
Ahmedabad,"Global Healthcare products",1025280000
"New Delhi","Business Messaging App",1025280000
Pune/Seattle,Technology,1005000000
Gurgaon,"Premium dining Lounges & restaurants",961200000
"New Delhi","mobile-only tasks marketplace",961200000
Jaipur,"Fashion jewelry and accessories e-tailer",961200000
Mumbai,"Used Vehicles Marketplace",961200000
Gurgaon,"Fashion Discovery platform",961200000
Bangalore,"Travel information portal",961200000
Mumbai,"Used Bikes Marketplace",961200000
"Pune / USA","Data Center Software platform",961200000
"NA(Not Available)","SaaS product intelligence platform",961200000
Bangalore,"Banking Analytics Platform",961200000
Bangalore,"Online Certification Courses",961200000
"Bangalore / SFO",Technology,904500000
Bangalore,"IT infrastructure & Data Center services",865080000
Mumbai,"Fitness Tracking Management Solutions",858672000
Bangalore,"Luxury Rental Homes",817020000
"Pune / USA","Sales & Productivity Software",801000000
Ahmedabad,eCommerce,795870000
Pune,"Consumer Internet",770640280
Mumbai,"Online Education Platform",768960000
Bangalore,"Electric Scooter Manufacturer",768960000
Udupi,"Mobile App Development",768960000
Mumbai,"Online Insurance Aggregator",768960000
Bangalore,Logistics,720300000
Bangalore,Education,714890000
"Mumbai / Global","Big Data & Analytics platform",704880000
Bangalore,"Self-driven vehicle rental",704880000
Bangalore,"Hyper local logistics platform",704880000
Chennai,"Financial Services Platform",704880000
Ahmedabad,Technology,674569000
Chandigarh,"Consumer Internet",670000000
"New Delhi","Healthcare Mobile App",653616000
"New Delhi","Supply Chain & Logistics Solutions",640800000
Bangalore,"Sports Management & Physical Education Business",640800000
Bangalore,"Rental Accommodation Search platform",640800000
Chennai,"Healthcare IT Solutions & services",640800000
Bangalore,"Hyperlocal Logistics Service",640800000
Chandigarh,"Autorickshaw Aggregator & Booking platform",640800000
Bangalore,"Food Subscription platform",640800000
Mumbai,"End-to-end Logistics platform",640800000
Ahmedabad,"Online Finance lending platform",640800000
"New Delhi","Casual Dining restaurant Chain",640800000
Hyderabad,"Online comparison engine",640800000
Bangalore,"HealthcareService provider",640800000
Bangalore,"Startup funding platform",640800000
"New Delhi","Hyperlocal services marketplace",640800000
Gurgaon,"Trucking Logistic Operations",640800000
Bangalore,"Online Grocer",640800000
Gurgaon,"Hyper-Local Online/Mobile Grocery",640800000
Bangalore,"Grey collar Job Board",640800000
Mumbai,"User Engagment & Analytics platform",615168000
Mumbai,"Beauty & Wellness Products e-tailer",608760000
"New Delhi","Industrial Tools Marketplace",589536000
Bangalore,"Ecommerce Delivery locker services",576720000
Jaipur,"Online Payment Gateway",576720000
Gurgaon,"Hyperlocal Delivery Services",576720000
"New Delhi","Micro Finance Platform",551088000
Chennai,Finance,549400000
"Bangalore/ Bangkok",eCommerce,536000000
Mumbai,"Dental Clinic chain",525456000
Gurgaon,Finance,522640000
"Bangalore / San Mateo","End-to-End Lending platform",512640000
Bangalore,"Home Design & DÃ©cor solutions",512640000
Noida,"Online Travel Marketplace",512640000
"New Delhi","Gesture based Mobile Development",493416000
Bangalore,"Designer fashion Jewellery Marketplace",480600000
Mumbai,"Food Discovery & Delivery Mobile app",480600000
Mumbai,"Credit Card Fraud protection solutions",480600000
Bangalore,"Celebrity Fashion Brand",480600000
Bangalore,"Tech Recruitment platform",480600000
Kolkata,Technology,452250000
Bangalore,"Last Mile Delivery Service",448560000
Gurgaon,"Mobile Wallet",422928000
Jaipur,"Language Learning App",416520000
Pune,"Food & Beverage",411579000
Hyderabad,Finance,402000000
"New Delhi",Education,385250000
Mumbai,"Ready to cook packaged Foods",384480000
Mumbai,"Mobile Payments App",384480000
Mumbai,"Online Homeopathy Clinic",384480000
Hyderabad,"Spa & Salon Management Software",384480000
"New Delhi","Healthy Food Manufacturer",384480000
Bangalore,"Online Budget Hotel Booking Service",384480000
Mumbai,"Logistics Tech",384480000
Bangalore,"Freight logistics platform",384480000
Gurgaon,"Real Estate Advisory",384480000
Gurgaon,"Online Pharmacy & Drug DB",384480000
"Pune / USA","Cloud Enterprise Software",384480000
Mumbai,"Hyperlocal Handyman services",362052000
Mumbai,"Transportation & Logistics Platform",358848000
Gurgaon,"Hyperlocal Mobile Marketplace",352440000
Kolkata,eCommerce,326650000
Bangalore,"Online Branded Furniture etailer",320400000
Bangalore,"B2B eCommerce Marketplace",320400000
Mumbai,"Alternate Mobile Monetization platform",320400000
Bangalore,"Online Logistics Platform",320400000
"Bangalore / USA","Big Data Management Platform",320400000
"New Delhi","ECommerce Logistics provider",320400000
Bangalore,"Used Car Marketplace",320400000
"New Delhi","Real Estate Rating & Analysis",320400000
Gurgaon,"Contact Center Software Platform",320400000
Gurgaon,"Travel Tech",320400000
Chandigarh,"Auto Rickshaw Based Services",320400000
"New Delhi","Private Label lingerie Ecommerce",320400000
Bangalore,"Fashion Ecommerce store",320400000
Mumbai,"IT / Customer Engagement Consulting",320400000
Bangalore,"Data Driven recruitment recommendation",320400000
Bangalore,"Online Education Platform",320400000
Gurgaon,"Lifestyle Ecommerce Portal",320400000
"New Delhi","Affordable Hotel Booking Online",320400000
Bangalore,"Self-driven Car rental",320400000
Mumbai,"Hyper-local Online Services",320400000
Bangalore,"Payment Solutions platform",310788000
Hyderabad,"Custom Made furniture e-tailer",288360000
Bangalore,"Mobile Marketing Automation Platform",272340000
Mumbai,"Data Analytics Platform",269136000
Gurgaon,Healthcare,268000000
"New Delhi / USA",ECommerce,268000000
Hyderabad,eCommerce,262405500
Gurgaon,"HyperlocalÂ  Grocery Delivery Service",256320000
"New Delhi","Viral Content web Platform",256320000
Pune,"Mobile Commerce for Farmers",256320000
Mumbai,"Cross-channel CRM platform",256320000
Bangalore,"Language Localization Cloud platform",256320000
"New Delhi","Online Learning Platform",256320000
Vadodara,"Material Collection & Recycling",256320000
Gurgaon,"Ecommerce Discount & Cashback coupons platform",237096000
Singapore,Technology,234500000
"New Delhi",Healthcare,228271190
Bangalore,"Modular Furnishings Marketplace",224280000
Mumbai,"Online Food Delivery",224280000
Bangalore,"Fashion ECommerce",224280000
Bangalore,"Startup Analytics platform",224280000
Bangalore,"Data Driven Publishing platform",211464000
Gurgaon,Education,201000000
Mumbai,"Food Delivery Platform",198648000
Bangalore,"Online School for Analytics learning",192240000
"New Delhi","Nonbanking finance company",192240000
Boston,"Performance Optimization Platform for athletes",192240000
Hyderabad,"Mobile accessories online store",192240000
Bangalore,"Online Real Estate Marketplace",192240000
Mumbai,"E-Learning Service Provider",192240000
USA/India,"Early Cancer Detection Solutions",192240000
Mumbai,"Financial Services Portal",192240000
Gurgaon,"Restaurant Reservation Platform",192240000
Gurgaon,"Budget Accommodation aggregator",192240000
Mumbai,"Real Estate Intelligence Platform",192240000
Bangalore,"3D Printer Manufacturer",192240000
Bangalore,"B2C Messaging App",192240000
"New York/ India","Real Estate Mobile CRM",189036000
"SFO / Bangalore","Consumer Internet",180900000
Chennai,"Food & Beverage",176391000
Chennai,eCommerce,168304000
Bangalore,"Real Estate",167500000
Hyderabad,"Mobile Point of Sale solutions",160200000
Bangalore,"conversational commerce mobile app",160200000
Bangalore,"Mobile Messaging Assistant App",160200000
Bangalore,"Mutual Fund Investing platform",160200000
Chennai,"Credit Management Services",160200000
Bangalore,"Flat rental Mobile App",160200000
Mumbai,"Hyperlocal Maintenance, Repair & Cleaning services",153792000
"New Delhi","Medical Tech Instruments",153792000
Mumbai,"Business intelligence & Analytics",153792000
Pune,"Restaurant customer engagement platform",147384000
"New Delhi","Digital & Physical Publishing platform",144180000
Bangalore,"Photographer Online search & booking platform",140976000
"New Delhi","Travel Entertainment",140976000
Jaipur,eCommerce,134000000
"New Delhi","Digital Healthcare",128160000
Gurgaon,"Home Cooked Food Order & Delivery platform",128160000
Bangalore,"End to End reverse logistics Solution platform",128160000
"New Delhi","Logistics Service Provider Marketplace",128160000
Mumbai,"Sports Education Platform",128160000
"New Delhi","Online content platform for women",128160000
Bangalore,"Online Furniture, Home Appliances Rental Platform",128160000
Mumbai,"Self Driven Rental Car Platform",128160000
Bangalore,"Product discovery & recommendation platform",128160000
Mumbai,"Home Cooked Food marketplace & Delivery",128160000
Mumbai,"Competitive exam learning platform",128160000
Bangalore,"Cloud-based Hotel Booking Platform",128160000
Mumbai,"Online Insurance Distribution Platform",128160000
Hyderabad,"Solar Power Solutions company",128160000
Bangalore,"Beauty & Lifestyle Mobile Marketplace",128160000
Bangalore,"Big Data & Analytics platform",128160000
Pune,"Hasbro Toy Manufacturer",128160000
Pune,"Online Security Platform",128160000
Bangalore,"Cloud Data Integration Platform",128160000
