year,month,industryvertical,total_funding
2015,Apr,"Auto Rickshaw based Logistics",64080000
2015,Apr,"Beauty & Wellness Mobile App",0
2015,Apr,"business expense management",32040000
2015,Apr,"Clean Tech",0
2015,Apr,"Cloud Enterprise Software",384480000
2015,Apr,"Device Repair Svcs",12816000
2015,Apr,"Digital / Mobile Wallet",1612573200
2015,Apr,eCommerce,640800000
2015,Apr,Ed-Tech,19224000
2015,Apr,"Ethnic Product eCommerce",1153440000
2015,Apr,"Fashion ECommerce",224280000
2015,Apr,"Financial Markets Software",25632000
2015,Apr,"Food Logistics & Delivery",64080000
2015,Apr,"Grey collar Job Board",640800000
2015,Apr,"Hiring Analytics platform",32040000
2015,Apr,"Hyper-local Online Services",320400000
2015,Apr,"Hyper-Local Online/Mobile Grocery",640800000
2015,Apr,"Hyperlocal Mobile Services Marketplace",102528000
2015,Apr,"Hyperlocal services marketplace",0
2015,Apr,"Interactive Educational Games",25632000
2015,Apr,"InteractiveÂ  How-To Guides",57672000
2015,Apr,"Last Minute Travel Deals mobile marketplace",115344000
2015,Apr,"Location Based App",64080000
2015,Apr,"Logistics Tech",32040000
2015,Apr,"Material Collection & Recycling",256320000
2015,Apr,"Mobile App Development",768960000
2015,Apr,"Mobile Food Ordering app",0
2015,Apr,"Mobile Health Tech",0
2015,Apr,"On-Demand Handyman Services",0
2015,Apr,"OnDemandMobile Handyman Services",76896000
2015,Apr,"Online Certification Courses",961200000
2015,Apr,"Online Classifieds & Listings",1794240000
2015,Apr,"Online Food Delivery",128160000
2015,Apr,"Online Furniture ecommerce",0
2015,Apr,"Online Grocer",640800000
2015,Apr,"Online Hotel Booking",64080000
2015,Apr,"Online Insurance Aggregator",768960000
2015,Apr,"Online Kitchen Furniture",80100000
2015,Apr,"Online Pharmacy & Drug DB",384480000
2015,Apr,"Online Travel Marketplace",512640000
2015,Apr,"Premium Beverages",128160000
2015,Apr,"Price Comparison",10573200
2015,Apr,"Private Coaching Centers",96120000
2015,Apr,"Restaurant Management Platform",22428000
2015,Apr,"Restaurant reservation app",0
2015,Apr,"Restaurant Reviews",1602000000
2015,Apr,"Robotic Program learning",16020000
2015,Apr,"Spam Call block App",0
2015,Apr,"Startup Analytics platform",224280000
2015,Apr,"Tele-Shopping / eCommerce",1377720000
2015,Apr,"Travel Entertainment",140976000
2015,Apr,"Used Gadgets Buy / Refurbishing",64080000
2015,Apr,"Video Streaming",7689600
2015,Apr,"Web Content Publishing",12816000
2015,Aug,"anonymous bulletin board app",0
2015,Aug,"App based Fitness coaching",0
2015,Aug,"App securityÂ  testing platform",32040000
2015,Aug,"Automated Storage & Warehousing Solution",1922400000
2015,Aug,"Beauty & Lifestyle Mobile Marketplace",128160000
2015,Aug,"Beauty & Lifestyle platform",0
2015,Aug,"Big Data & predictive Analysis Platform",0
2015,Aug,"Car & Bike ecommerce platform",0
2015,Aug,"Career Community for Women",49341600
2015,Aug,"Cloud Based Hotel Sales Platform",0
2015,Aug,"Corporate Wellness App",64080000
2015,Aug,"Credit Card Fraud protection solutions",480600000
2015,Aug,"Cross-channel CRM platform",256320000
2015,Aug,"Crowd funding platform",44856000
2015,Aug,"Data Analytics Platform",269136000
2015,Aug,"Deep Learning Cloud Algorithms",64080000
2015,Aug,"Digital Marketing automation solution",0
2015,Aug,"Digital Media publishing platform",0
2015,Aug,ecommerce,5126400
2015,Aug,"ECommerce Logistics provider",320400000
2015,Aug,"Ecommerce Marketing Software Platform",32040000
2015,Aug,"Education Marketplace",0
2015,Aug,"Energy & Environment Online Marketplace",0
2015,Aug,"Energy saving solutions provider",0
2015,Aug,"engineering services company",1281600000
2015,Aug,"Exam Preparation Platform",14097600
2015,Aug,"Fashion Discovery platform",961200000
2015,Aug,"Fashion Search & Review Platform",0
2015,Aug,"Fast food Chain Franchisee",40370400
2015,Aug,"Financial Inclusion platform",1602000000
2015,Aug,"Food Customer analytics platform",19224000
2015,Aug,"fund raising platform for startups",41652000
2015,Aug,"Grocery retail Mobile app",0
2015,Aug,"Home Design & DÃ©cor solutions",512640000
2015,Aug,"hotel booking app",32040000
2015,Aug,"Hyper-Local Ecommerce",1025280000
2015,Aug,"Hyperlocal Handyman services",192240000
2015,Aug,"Hyperlocal Maintenance, Repair & Cleaning services",153792000
2015,Aug,"Job Search Platform",32040000
2015,Aug,"Language Localization Cloud platform",256320000
2015,Aug,"Location based engagement & rewards platform",0
2015,Aug,"Logistics service platform",15699600
2015,Aug,"Logistics Tech Platform",83304000
2015,Aug,"Loyalty Programs & Reward Points",32040000
2015,Aug,"Luxury Apparel rental",0
2015,Aug,"Machine Learning Platform",0
2015,Aug,"Mobile based PoS solution",1602000000
2015,Aug,"Mobile Commerce for Farmers",256320000
2015,Aug,"mobile payment software platform",64080000
2015,Aug,"mobile social network",16020000
2015,Aug,"Mutual Fund Investing platform",160200000
2015,Aug,"On demand cleaning & fixing services",0
2015,Aug,"On-Demand App based Professional service provider",64080000
2015,Aug,"On-Demand Beauty Service",25632000
2015,Aug,"On-Demand Beauty Services",0
2015,Aug,"On-Demand Delivery Logistics",83304000
2015,Aug,"on-demand delivery service",19864800
2015,Aug,"on-demand home beauty and wellness portal",0
2015,Aug,"on-Demand Washing & Dry-Cleaning",6408000
2015,Aug,"Online budget hotel chain",1922400000
2015,Aug,"Online Coffee Delivery platform",19224000
2015,Aug,"Online Diagnostic Tests Marketplace",9996480
2015,Aug,"Online Food Community Platform",32040000
2015,Aug,"Online Furniture Marketplace",1281600000
2015,Aug,"Online Identity Verification Services platform",0
2015,Aug,"Online marketplace for Photographers",38448000
2015,Aug,"Online printing marketplace",16020000
2015,Aug,"online recipe sharing platform",0
2015,Aug,"Picture based Social App",6408000
2015,Aug,"pre-owned Luxury online apparel seller",0
2015,Aug,"Private Cloud Networks SAAS platform",0
2015,Aug,"Professional Custom creators Marketplace",16020000
2015,Aug,"Professional Service Appointment booking service",25632000
2015,Aug,"QSR Restaurant Chain",10252800
2015,Aug,"Quick Service Restaurant Chain",102528000
2015,Aug,"Rental Accomodation finder",0
2015,Aug,"Restaurant Discount app",25632000
2015,Aug,"Restaurant Reservation Platform",192240000
2015,Aug,"Scientific Horoscope Online Assistance platform",0
2015,Aug,"Self Driven Car rental",0
2015,Aug,"Self-Storage Spaces",0
2015,Aug,"solar products and services marketplace",0
2015,Aug,"Startup Focused Online Publisher",0
2015,Aug,"Subscription based Online Grocery platform",6408000
2015,Aug,"Taxi Rental platform",32040000
2015,Aug,"Tech enabled AC bus service",0
2015,Aug,"Tech Platform for property brokers",50302800
2015,Aug,"Tech-enabled learning",0
2015,Aug,"Travel community platform",0
2015,Aug,"User Engagment & Analytics platform",615168000
2015,Aug,"Visual Blogging platform",38448000
2015,Aug,"Waste Management Solutions",10252800
2015,Dec,"App based Bus Pooling Services",1281600000
2015,Dec,"Artificial Intelligence platform",48060000
2015,Dec,"B2B eCommerce Marketplace",320400000
2015,Dec,"B2B Merchandize platform",19416240
2015,Dec,"Bike, Appliances Renting marketplace",0
2015,Dec,"Brand Licensing Startup",0
2015,Dec,"Cab search Comparison & Booking platform",12816000
2015,Dec,"Cab Sharing service Mobile app",6408000
2015,Dec,"Car Maintenance & Management mobile app",6408000
2015,Dec,"Chat based personal Assistant App",0
2015,Dec,"Citizens Engagement Platform",0
2015,Dec,"Cloud Enterprise Mobility Platform",0
2015,Dec,"Content Discovery & reward points platform",0
2015,Dec,"Custom Made furniture e-tailer",288360000
2015,Dec,"Data Science & UX design Learning platform",108936000
2015,Dec,"Digital Analytics Platform",32040000
2015,Dec,"Digital Coupons, Deal & Cashback aggregator app",0
2015,Dec,"Digital Healthcare",128160000
2015,Dec,"Digital Media Platform",0
2015,Dec,"ECommerce platform solutions",0
2015,Dec,"eCommerce returns etailer",0
2015,Dec,"ECommerce Website Creation SAAS platform",0
2015,Dec,"eLearning platform",0
2015,Dec,"Electric Bike Manufacturers",76896000
2015,Dec,"End to End reverse logistics Solution platform",128160000
2015,Dec,"Enterprise Marketing Automation platform",32040000
2015,Dec,"Event Venue Booking Platform",0
2015,Dec,"Furniture and appliances rental platform",0
2015,Dec,"Gourmet Food Discovery & Delivery platform",0
2015,Dec,"Grocery Delivery platform",64080000
2015,Dec,"Health, Wellness & Beauty Services App",0
2015,Dec,"Holiday Resort Chain",0
2015,Dec,"Home Cooked Food Order & Delivery platform",128160000
2015,Dec,"Home services marketplace",1441800000
2015,Dec,"Hyperlocal On-Demand Household Services platform",0
2015,Dec,"HyperlocalÂ  Grocery Delivery Service",256320000
2015,Dec,"Indoor Navigation & Analytics Solutions",0
2015,Dec,"Interface development platform for Government officials",0
2015,Dec,"International Hiring Platform",12816000
2015,Dec,"Internet Network Infrastructure Services",32040000
2015,Dec,"IOT Energy Management Analytics platform",0
2015,Dec,"Last Minute Hotel Booking App",96120000
