investors,no_of_investments,invested_amount
"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",1,2144000000
"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",1,2097100000
"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",1,2025230000
"Lightbox Ventures, Axis Capital & Others",1,2010000000
"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",1,2010000000
"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",1,2010000000
"Fosun International",1,1959900000
"ru-Net, Sequoia Capital,Â  Lightbox Ventures",1,1922400000
"SAIF Partners and others",1,1922400000
"Didi Kuaidi",1,1922400000
"Tiger Global Management, Orios Venture Partners",1,1922400000
"Sofina, Hillhouse Capital",1,1922400000
"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",1,1922400000
"India Value Fund Advisors",1,1922400000
"Hero MotoCorp",1,1809000000
"GIC ventures",1,1794240000
"IFC Everstone Group",1,1730160000
"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,Â  Falcon Edge",1,1675000000
"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",1,1675000000
"Xiaomi Inc",1,1675000000
"B Capital Group, Ignition Partners, Greycroft, e.ventures,Â  Eight Roads Ventures",1,1633250000
"Ford Smart Mobility Llc",1,1608000000
"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",1,1602000000
"Bessemer Venture Partner, Accel, SAIF Partners",1,1602000000
"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",1,1602000000
"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",1,1602000000
"Accion, LeapFrog Investments, Lok Capital",1,1602000000
"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",1,1602000000
"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",1,1602000000
"Epsilon Venture Partners",1,1541000000
"Microsoft Ventures, Salesforce Ventures",1,1541000000
Infibeam,1,1463392000
"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",1,1441800000
"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",1,1407000000
"Mitsui & Co & existing investors",1,1377720000
"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",1,1371930000
"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",1,1371930000
"Delta Partners, Sequoia India,Â  Mayfield, Blacksoil, Trifecta Capital",1,1340000000
"Alpha Capital",1,1340000000
"Asset Management (Asia) Ltd, Digital Garage Inc",1,1306600000
"Sequoia Capital, Times Internet Ltd & One more Fund",1,1281600000
CerraCap,1,1281600000
Snapdeal,1,1281600000
"Zodius Technology Fund",1,1281600000
AskMe,1,1281600000
"Tiger Global,Â  Nirvana Ventures Advisors",1,1281600000
"CDC Group Plc",1,1273935000
"Bhavin Turakhia",1,1273000000
IndianIdeas.com,1,1239948000
"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",1,1208605000
NanoHoldings,1,1206000000
"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",1,1175940000
"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",1,1153440000
"Zodius Technology Fund, Lightspeed Venture Partners",1,1139000000
"Zodius Capital, Lightspeed Venture Partners",1,1105500000
"Bravia Capital",1,1072000000
"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",1,1072000000
"Axiata Digital",1,1072000000
"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",1,1063728000
"Norwest Venture Partners, SAIF Partners, Accel Partners",1,1057320000
"Westbridge Capital Partners",1,1045200000
"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",1,1038096000
"Lightbox Ventures, Beenos",1,1025280000
"International Financial Corporation",1,1005000000
"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",1,1005000000
"Norwest Venture Partners, Accel India",1,1005000000
"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",1,1005000000
"Accel Partners, IDG Ventures, Kalaari Capital",1,1005000000
"Franklin Templeton International Services Pvt. Ltd",1,1005000000
"Naturals Salon Chain",1,1005000000
"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",1,1005000000
"IDFC SPICE Fund, Micromax Informatics",1,1005000000
"Bertelsmann India Investments",1,1005000000
"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",1,1005000000
"SoftBank Corp",1,1005000000
"Agarwal Movers Group",1,998300000
"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",1,993016000
"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",1,979950000
Transamerica,1,979950000
"Private Sector Banks (Debt Funding)",1,979950000
"Sequoia Capital, Kinzon Capital",1,979950000
"Kleiner Perkins, Goldman Sachs, Pine Brook",1,979950000
"Softbank Ventures Korea, IMM Investment",1,979950000
"CapitalG, Sequoia India",1,979950000
"Chandralekha Construction Pvt. Ltd.",1,961200000
"Times Internet",1,961200000
"Peepul Capital",1,961200000
"Eight Road Ventures",1,961200000
"Tiger Global, Orios Venture Partners.",1,961200000
"Fidelity Growth Partners",1,961200000
"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",1,961200000
"IDG Ventures, Sequoia Capital",1,961200000
"Mayfield Ventures, Kalaari Capital, Helion Ventures",1,961200000
"Times of India Group & Existing investors",1,904500000
"Matrix Partners, Nexus Ventures",1,904500000
"Sherpa Capital, Nyca Partners and Thomvest Ventures",1,904500000
"Eduardo Saverin",1,871000000
"IFC, Axon Partners, Intel Capital",1,865080000
"New Enterprise Associates, Cheetah Mobile",1,858672000
"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",1,849290000
"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",1,837500000
"Sunil Munjal, Mariwala family",1,824100000
"Flipkart, Tiger Global",1,817020000
