INVESTORSNAME,_investment,percentage_contribution
"Sequoia Capital",7727598000,2.3896
"Tiger Global",6108280000,1.8889
"Brand Capital",3342136000,1.0335
"undisclosed investors",3259113380,1.0078
"Eight Roads Ventures",2704145000,0.8362
"Goldman Sachs",2274050000,0.7032
"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",2144000000,0.6630
"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",2097100000,0.6485
"Accel Partners",2066527500,0.6390
"Sequoia India",2043600000,0.6319
"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",2025230000,0.6263
"Lightbox Ventures, Axis Capital & Others",2010000000,0.6216
"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",2010000000,0.6216
"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",2010000000,0.6216
"Tiger Global Management",1986480000,0.6143
"Fosun International",1959900000,0.6061
"ru-Net, Sequoia Capital,Â  Lightbox Ventures",1922400000,0.5945
"SAIF Partners and others",1922400000,0.5945
"Didi Kuaidi",1922400000,0.5945
"Tiger Global Management, Orios Venture Partners",1922400000,0.5945
"Sofina, Hillhouse Capital",1922400000,0.5945
"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",1922400000,0.5945
"India Value Fund Advisors",1922400000,0.5945
"Hero MotoCorp",1809000000,0.5594
"GIC ventures",1794240000,0.5548
"Nexus Venture Partners",1754980000,0.5427
"IFC Everstone Group",1730160000,0.5350
"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,Â  Falcon Edge",1675000000,0.5180
"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",1675000000,0.5180
"Xiaomi Inc",1675000000,0.5180
"SAIF Partners",1660580000,0.5135
"B Capital Group, Ignition Partners, Greycroft, e.ventures,Â  Eight Roads Ventures",1633250000,0.5050
Paytm,1621316000,0.5014
"Info Edge (India)",1611849000,0.4984
"Ford Smart Mobility Llc",1608000000,0.4972
"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",1602000000,0.4954
"Bessemer Venture Partner, Accel, SAIF Partners",1602000000,0.4954
"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",1602000000,0.4954
"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",1602000000,0.4954
"Accion, LeapFrog Investments, Lok Capital",1602000000,0.4954
"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",1602000000,0.4954
