startupname,total_funding
UrbanClap,3919781000
mSwipe,3627230000
Swiggy,3620680000
LendingKart,3598158500
BlueStone,3048096000
Icertis,3022730000
Rivigo,2902350000
"Zo Rooms",2883600000
NestAway,2827020000
Zoomcar,2633280000
"Ather Energy",2577960000
Furlenco,2345000000
Faasos,2333979000
Voonik,2253380000
FreshMenu,2244500000
Pepperfry,2097100000
Power2SME,2060300000
CCAvenue,2059692000
MobiKwik,2024928000
"Medwell Ventures",2012730000
Qubole,2010000000
"Capital Float",1988584000
1mg,1984950000
Roposo,1966200000
Delhivery,1959900000
CredR,1922400000
"Ola Cabs",1922400000
"Grey Orange",1922400000
"Paper Boat",1922400000
Axtria,1922400000
deGustibus,1922400000
CoverFox,1877070000
"Square Yards",1841780000
Sulekha.com,1794240000
"S Chand",1730160000
Housejoy,1698120000
Jugnoo,1695280000
DailyHunt,1675000000
"Meru Cabs",1675000000
Hungama,1675000000
"Fab Hotels",1633250000
BlackBuck,1602000000
"Citrus Payment",1602000000
Ezetap,1602000000
"IFMR Holdings",1602000000
Zomato,1602000000
Koovs,1561100000
"Pi Data Centers",1541000000
HelpShift,1541000000
Innoviti,1519393000
LivSpace,1517640000
Nykaa,1432860000
Flytxt,1423510000
Naaptol.com,1377720000
Simplilearn,1363200000
Roadrunnr,1345680000
Housing.com,1340000000
Knowlarity,1340000000
Quikr,1340000000
"Just Buy Live",1340000000
Droom,1306600000
Awfis,1306600000
Shuttl,1281600000
"NDTV Wedding portal",1281600000
GoJavas,1281600000
"Allygrow Technologies",1281600000
MebelKart,1281600000
"News in shorts",1281600000
MedGenome,1281600000
Zopper,1281600000
iGenetics,1273935000
Zeta,1273000000
CueMath,1247950000
"Loylty Rewards",1239948000
"InnoNano Research",1206000000
CureFit,1200990000
PharmEasy,1175940000
"Travel Triangle",1165940000
NoBroker,1165800000
Craftstvilla,1153440000
Vyomo,1133160000
Magicpin,1089488000
OfBusiness,1078700000
Rentalpha,1072000000
NeoGrowth,1072000000
StoreKing,1072000000
Moglix,1065360000
Bidgely,1063728000
"Leap India",1050290000
Innovaccer,1045200000
"NearBuy (previouslyÂ  groupon India)",1025280000
Droom.in,1025280000
"La Renon",1025280000
Akosha,1025280000
Cleartax,1025100000
Byjuâ€™s,1005000000
Flexiloans,1005000000
Zenoti,1005000000
"Deal4Loans / Wishfin",1005000000
Transerv,1005000000
TruckingCube,998300000
"Urban Ladder",993016000
Ixigo,979950000
"Better Mortgage",979950000
"True Balance",979950000
Belong,973700000
"Yuvi Hospitality",961200000
TaskBucks,961200000
Voylla,961200000
HolidayIQ,961200000
"Arkin Net",961200000
Indix,961200000
Fintellix,961200000
Kartrocket,938000000
Licious,918380000
Agrostar,909620000
StayZilla,904500000
ZenDrive,904500000
Peppertap,897120000
Hopscotch,871000000
Tracxn,865080000
NxtGen,865080000
GOQii,858672000
Toppr,849856000
Xpressbees,837500000
SirionLabs,820750000
EasyPolicy,817400000
Unbxd,816625000
HealthKart,804000000
Seclore,804000000
MoneyTap,803559000
MindTickle,801000000
Box8,792110000
Rentomojo,781460000
Robosoft,768960000
MyGlamm,748249000
"Big Fish Ventures",743700000
CupoNation,737000000
"Aye Finance",714880000
IndustryBuying,710136000
FundsIndia.com,704880000
"Xseed Education",670000000
Indifi,670000000
IdeaForge,670000000
Shadowfox,670000000
Udaan,670000000
Travelyaari,670000000
Sagacito,670000000
EduPristine,670000000
"The Viral Fever",670000000
Zilingo,657752000
CreditMantri,656708000
Lybrate,653616000
4tigo,653300000
Zapr,653300000
NowFloats,653300000
"Holisol Logistics",640800000
SportzVillage,640800000
Grabhouse,640800000
"Attune Technologies",640800000
