investors,no_of_investments
"undisclosed investors",68
"Indian Angel Network",25
"Undisclosed Investor",22
"Ratan Tata",22
"Kalaari Capital",15
"Sequoia Capital",11
"RoundGlass Partners",10
"Brand Capital",10
"Accel Partners",9
"SAIF Partners",9
,8
"Info Edge (India) Ltd",8
"Group of Angel investors",8
"YouWeCan Ventures",7
Undisclosed,7
"Nexus Venture Partners",7
"Unitus Seed Fund",7
"Blume Ventures",6
"Trifecta Capital",6
"Tiger Global",6
"Kae Capital",5
"Venture Catalysts",5
"India Educational Investment Fund",5
"The Chennai Angels",5
"Undisclosed HNIs",5
"Eight Roads Ventures",4
Paytm,4
Rainmatter,4
"InnoVen Capital",4
"IdeaSpring Capital",4
"Jungle Ventures",4
"Bessemer Venture Partners",4
"Exfinity Venture Partners",4
"SRI Capital",4
Quarizon,4
"Axilor Ventures",4
"India Quotient",4
"Idein Ventures",4
"Infuse Ventures",4
"ah! Ventures",4
"Multiple investors through Ten Minute Million competition",4
"Green House Ventures (GHV)",4
"Norwest Venture Partners",3
"50K Ventures",3
"Deepak Nathani",3
"Anand Chandrasekaran",3
"Matrix Partners India",3
"Sequoia India",3
"Facebook FBStart",3
Flipkart,3
"IvyCap Ventures",3
"The Ten Minute Million",3
"Mumbai Angels",3
"Edelweiss Private Equity",3
"Vijay Shekhar Sharma",3
"Rajan Anandan",3
"Gray Matters Capital",3
"Swastika Company Ltd",3
"Centre for Innovation Incubation and Entrepreneurship (CIIE)",3
"500 Startups",3
"TVS Automobile Solutions Ltd",3
vCommission,3
"Kalaari Capital Accelerator Program",3
"Lead Angels",3
"Chennai Angels",3
"Unilazer Ventures",3
"GHV Accelerator",3
"Micromax Informatics",3
"Acumen Fund",3
"Blacksoil Capital Pvt. Ltd",2
Xelpmoc,2
"Yuvraj Singh",2
"Goldman Sachs",2
"Hyderabad Angels",2
"Nimit Panigrahi",2
"Kstart Capital",2
"Carpediem Capital",2
"Matrix Partners",2
"Kalaari Capital, Norwest Venture Partners",2
"NB Ventures",2
"Lightspeed Venture Partners",2
"Bennett, Coleman and Company Ltd",2
"Times Internet Ltd",2
Lâ€™Occitane,2
"3one4 capital",2
"Earlsfield Capital",2
"Ganesh Natarajan",2
"Nexus Venture Partners, Blume Ventures",2
"IvyCamp Ventures",2
"GEMs Advisory, Quarizon",2
"Franchise India",2
"Info Edge (India)",2
"Eros Labs",2
"Unicorn India Ventures",2
"Sachin Bansal, Binny Bansal",2
"Nandan Nilekani",2
"Chandigarh Angels Network",2
"Viraj Tyagi & Others",2
"Punit Soni",2
"DSG Consumer Partners",2
BEENEXT,2
"Omnivore Partners",2
"CIO Angel Network",2
LetsVenture,2
"Anglian Omega Network",2
"Swan Angel Network",2
"Kalaari Capital, India Quotient",2
"Rainmaker Ventures",2
"SAIF Partners, India Quotient",2
"Prime Venture Partners",2
"Parampara Capital",2
"EVC Ventures",2
"Accel Partners India",2
"Mayfield Ventures",2
Grex.in,2
"MoMagic Technologies",2
"YourNest Angel Fund",2
"Anand Mahindra",2
"Ashish Gupta",2
GirnarSoft,2
"Undisclosed private investors",2
"Indian Angel Network, Stanford Angels, Entrepreneurs India",2
"Snow Leopard Technology Ventures",2
"Sixth Sense Ventures",2
"Manipal Global Education Services",2
Aavishkaar,2
"Lightspeed India",2
"Tracxn Syndicate",2
"Dinesh Agarwal",2
"Sanjay Mehta",2
"Puneet Dalmia",2
"growX ventures",2
"Agnus Capital",2
"Turning Ideas",2
"IDG Ventures",2
"Palaash Ventures",2
"Paytm (One97 communications)",2
"Aarin Capital Partners",2
"Green House Ventures",2
"Oliphans Capital",2
VentureNursery,2
"Tiger Global Management",2
"Group of Investors",2
"Accel Partners, Helion Venture Partners",2
MakeMyTrip,2
"SIDBI Venture Capital Ltd",2
AngelPrime,2
"Triton Investment Advisors",1
"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",1
"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",1
"Narottam Thudi, Shireesh Palle",1
"Reliance Corporate Advisory Services Ltd",1
"Infuse Ventures, JLL",1
"Asset Management (Asia) Ltd, Digital Garage Inc",1
"Kalaari Capital, Nexus India Capital Advisors",1
"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",1
BCCL,1
"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",1
"India Quotient, Shunwei Capital",1
"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",1
"Mitsui & Co.",1
"Dunamis Ventures Pte Ltd",1
"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",1
"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",1
"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",1
"Corvus Ventures, MAPE Advisory Group",1
"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",1
"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",1
"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",1
"IDG Ventures India Advisors, Jungle Ventures",1
"One97 Communication Ltd",1
"Uber Technologies Inc, Amaya Capital LLP",1
"ain Capital Ventures, Renaud Laplanche",1
"Francesco Cara",1
"ABI-Showatech (India) Ltd",1
"Kae Capital, M&S Partners,",1
"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",1
"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",1
"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",1
"Blume Ventures, NB Ventures, Nspira",1
"Stellaris Venture Partners,",1
