investors,invested_amount
"Sequoia Capital",7727598000
"Tiger Global",6108280000
"Brand Capital",3342136000
"undisclosed investors",3259113380
"Eight Roads Ventures",2704145000
"Goldman Sachs",2274050000
"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",2144000000
"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",2097100000
"Accel Partners",2066527500
"Sequoia India",2043600000
"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",2025230000
"Lightbox Ventures, Axis Capital & Others",2010000000
"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",2010000000
"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",2010000000
"Tiger Global Management",1986480000
"Fosun International",1959900000
"ru-Net, Sequoia Capital,Â  Lightbox Ventures",1922400000
"SAIF Partners and others",1922400000
"Didi Kuaidi",1922400000
"Tiger Global Management, Orios Venture Partners",1922400000
"Sofina, Hillhouse Capital",1922400000
"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",1922400000
"India Value Fund Advisors",1922400000
"Hero MotoCorp",1809000000
"GIC ventures",1794240000
"Nexus Venture Partners",1754980000
"IFC Everstone Group",1730160000
"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,Â  Falcon Edge",1675000000
"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",1675000000
"Xiaomi Inc",1675000000
"SAIF Partners",1660580000
"B Capital Group, Ignition Partners, Greycroft, e.ventures,Â  Eight Roads Ventures",1633250000
Paytm,1621316000
"Info Edge (India)",1611849000
"Ford Smart Mobility Llc",1608000000
"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",1602000000
"Bessemer Venture Partner, Accel, SAIF Partners",1602000000
"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",1602000000
"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",1602000000
"Accion, LeapFrog Investments, Lok Capital",1602000000
"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",1602000000
"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",1602000000
"Bessemer Venture Partners",1544489000
"Epsilon Venture Partners",1541000000
"Microsoft Ventures, Salesforce Ventures",1541000000
Infibeam,1463392000
"Kalaari Capital",1452376000
"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",1441800000
"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",1407000000
"Mitsui & Co & existing investors",1377720000
"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",1371930000
"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",1371930000
"Delta Partners, Sequoia India,Â  Mayfield, Blacksoil, Trifecta Capital",1340000000
"Alpha Capital",1340000000
"Asset Management (Asia) Ltd, Digital Garage Inc",1306600000
"Sequoia Capital, Times Internet Ltd & One more Fund",1281600000
CerraCap,1281600000
Snapdeal,1281600000
"Zodius Technology Fund",1281600000
AskMe,1281600000
MakeMyTrip,1281600000
"Tiger Global,Â  Nirvana Ventures Advisors",1281600000
"CDC Group Plc",1273935000
"Bhavin Turakhia",1273000000
IndianIdeas.com,1239948000
"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",1208605000
NanoHoldings,1206000000
"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",1175940000
"Norwest Venture Partners",1157190000
"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",1153440000
"Zodius Technology Fund, Lightspeed Venture Partners",1139000000
"Trifecta Capital",1112093000
"Zodius Capital, Lightspeed Venture Partners",1105500000
"InnoVen Capital",1088521000
"Bravia Capital",1072000000
"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",1072000000
"Axiata Digital",1072000000
"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",1063728000
"Norwest Venture Partners, SAIF Partners, Accel Partners",1057320000
"Westbridge Capital Partners",1045200000
"IvyCap Ventures, Accel Partners, Dragoneer Investment Group",1038096000
"Lightbox Ventures, Beenos",1025280000
"Bennett, Coleman and Company Ltd",1012615000
"International Financial Corporation",1005000000
"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",1005000000
"Norwest Venture Partners, Accel India",1005000000
"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",1005000000
"Accel Partners, IDG Ventures, Kalaari Capital",1005000000
"Franklin Templeton International Services Pvt. Ltd",1005000000
