year,industryvertical,total_funding
2015,"Online budget hotel chain",2883600000
2015,"Big Data & Analytics platform",2755440000
2015,"QSR Chain",1922400000
2015,"Logistics Services Provider",1922400000
2015,"Cab Booking app platform",1922400000
2015,"Automated Storage & Warehousing Solution",1922400000
2015,"Ethnic Beverages manufacturer",1922400000
2015,"Fine Dining Restaurant Chain",1922400000
2015,"Online Classifieds & Listings",1794240000
2015,"Education Content Provider",1730160000
2015,"Home services marketplace",1698120000
2015,"Digital / Mobile Wallet",1612573200
2015,"Online Freight Services Aggregator",1602000000
2015,"Mobile Services Marketplace",1602000000
2015,"Payments Solution platform",1602000000
2015,"Mobile based PoS solution",1602000000
2015,"Financial Inclusion platform",1602000000
2015,"Mobile Point of Sale payment solution",1602000000
2015,"Restaurant Reviews",1602000000
2015,"Online Food Delivery",1377720000
2015,"Tele-Shopping / eCommerce",1377720000
2015,"App based Bus Pooling Services",1281600000
2015,"Online Wedding Marketplace",1281600000
2015,"Delivery & Logistics Service provider",1281600000
2015,"engineering services company",1281600000
2015,"Online Furniture Marketplace",1281600000
2015,"News Aggregator mobile app",1281600000
2015,"Clinical Genomics Provider",1281600000
2015,"Hyperlocal Shopping App",1281600000
2015,"Premium Loyalty Rewards Point Management",1239948000
2015,"Ethnic Product eCommerce",1153440000
2015,"Online Education Platform",1089360000
2015,"Efficient Energy Management platform",1063728000
2015,"Online Food Ordering",1057320000
2015,"Online Jewellery Store",1038096000
2015,"Hyper-Local Ecommerce",1025280000
2015,"Used Vehicle Marketplace",1025280000
2015,"Global Healthcare products",1025280000
2015,"Business Messaging App",1025280000
2015,"Fashion Discovery platform",983628000
2015,"Premium dining Lounges & restaurants",961200000
2015,"mobile-only tasks marketplace",961200000
2015,"Fashion jewelry and accessories e-tailer",961200000
2015,"Used Vehicles Marketplace",961200000
2015,"Travel information portal",961200000
2015,"Used Bikes Marketplace",961200000
2015,"Data Center Software platform",961200000
2015,"SaaS product intelligence platform",961200000
2015,"Banking Analytics Platform",961200000
2015,"Online Certification Courses",961200000
2015,"IT infrastructure & Data Center services",865080000
2015,"Fitness Tracking Management Solutions",858672000
2015,"Luxury Rental Homes",817020000
2015,"Sales & Productivity Software",801000000
2015,"Electric Scooter manufacturer",768960000
2015,"Mobile App Development",768960000
2015,"Online Insurance Aggregator",768960000
2015,"Self-driven vehicle rental",704880000
2015,"Hyper local logistics platform",704880000
2015,"Financial Services Platform",704880000
2015,"Healthcare Mobile App",653616000
2015,ecommerce,645926400
2015,"Supply Chain & Logistics Solutions",640800000
2015,"Sports Management & Physical Education Business",640800000
2015,"Rental Accommodation Search platform",640800000
2015,"Healthcare IT Solutions & services",640800000
2015,"Hyperlocal Logistics Service",640800000
2015,"Autorickshaw Aggregator & Booking platform",640800000
2015,"Food Subscription platform",640800000
2015,"End-to-end Logistics platform",640800000
2015,"Online Finance lending platform",640800000
2015,"Casual Dining restaurant Chain",640800000
2015,"Online comparison engine",640800000
2015,"HealthcareService provider",640800000
2015,"Startup funding platform",640800000
2015,"Hyperlocal services marketplace",640800000
2015,"Trucking Logistic Operations",640800000
2015,"Online Grocer",640800000
2015,"Hyper-Local Online/Mobile Grocery",640800000
2015,"Grey collar Job Board",640800000
2015,"User Engagment & Analytics platform",615168000
2015,"Beauty & Wellness Products e-tailer",608760000
2015,"Industrial Tools Marketplace",589536000
2015,"Ecommerce Delivery locker services",576720000
2015,"Online Payment Gateway",576720000
2015,"Hyperlocal Delivery Services",576720000
2015,"Micro Finance Platform",551088000
2015,"Dental Clinic chain",525456000
2015,"End-to-End Lending platform",512640000
2015,"Home Design & DÃ©cor solutions",512640000
2015,"Online Travel Marketplace",512640000
2015,"Gesture based Mobile Development",493416000
2015,"Designer fashion Jewellery Marketplace",480600000
2015,"Food Discovery & Delivery Mobile app",480600000
2015,"Credit Card Fraud protection solutions",480600000
2015,"Celebrity Fashion Brand",480600000
2015,"Tech Recruitment platform",480600000
2015,"Last Mile Delivery Service",448560000
2015,"Mobile Wallet",422928000
2015,"Language Learning App",416520000
2015,"Ready to cook packaged Foods",384480000
2015,"Mobile Payments App",384480000
2015,"Online Homeopathy Clinic",384480000
2015,"Spa & Salon Management Software",384480000
2015,"Healthy Food Manufacturer",384480000
2015,"Online Budget Hotel Booking Service",384480000
2015,"Logistics Tech",384480000
2015,"Freight logistics platform",384480000
2015,"Real Estate Advisory",384480000
2015,"Online Pharmacy & Drug DB",384480000
2015,"Cloud Enterprise Software",384480000
2015,"Hyperlocal Handyman services",362052000
2015,"Transportation & Logistics Platform",358848000
2015,"Used Car Marketplace",352440000
2015,"Hyperlocal Mobile Marketplace",352440000
2015,"Online Branded Furniture etailer",320400000
2015,"B2B eCommerce Marketplace",320400000
2015,"Alternate Mobile Monetization platform",320400000
2015,"Online Logistics Platform",320400000
2015,"Big Data Management Platform",320400000
2015,"ECommerce Logistics provider",320400000
2015,"Real Estate Rating & Analysis",320400000
2015,"Contact Center Software Platform",320400000
2015,"Travel Tech",320400000
2015,"Auto Rickshaw Based Services",320400000
2015,"Private Label lingerie Ecommerce",320400000
2015,"Fashion Ecommerce store",320400000
2015,"IT / Customer Engagement Consulting",320400000
2015,"Data Driven recruitment recommendation",320400000
2015,"Lifestyle Ecommerce Portal",320400000
2015,"Affordable Hotel Booking Online",320400000
2015,"Self-driven Car rental",320400000
2015,"Hyper-local Online Services",320400000
2015,"Food Delivery Platform",310788000
2015,"Payment Solutions platform",310788000
2015,"Custom Made furniture e-tailer",288360000
2015,"Mobile Marketing Automation Platform",272340000
2015,"Data Analytics Platform",269136000
2015,"HyperlocalÂ  Grocery Delivery Service",256320000
2015,"Viral Content web Platform",256320000
2015,"Mobile Commerce for Farmers",256320000
2015,"Cross-channel CRM platform",256320000
2015,"Language Localization Cloud platform",256320000
2015,"Online Learning Platform",256320000
2015,"Material Collection & Recycling",256320000
2015,"Ecommerce Discount & Cashback coupons platform",237096000
2015,"Modular Furnishings Marketplace",224280000
2015,"Fashion ECommerce",224280000
2015,"Startup Analytics platform",224280000
2015,"Data Driven Publishing platform",211464000
2015,"Online School for Analytics learning",192240000
2015,"Nonbanking finance company",192240000
2015,"Performance Optimization Platform for athletes",192240000
2015,"Mobile accessories online store",192240000
2015,"Online Real Estate Marketplace",192240000
2015,"E-Learning Service Provider",192240000
2015,"Early Cancer Detection Solutions",192240000
2015,"Financial Services Portal",192240000
2015,"Restaurant Reservation Platform",192240000
2015,"Budget Accommodation aggregator",192240000
2015,"Real Estate Intelligence Platform",192240000
2015,"3D Printer Manufacturer",192240000
2015,"B2C Messaging App",192240000
2015,"Real Estate Mobile CRM",189036000
2015,"Mobile Point of Sale solutions",160200000
2015,"conversational commerce mobile app",160200000
2015,"Mobile Messaging Assistant App",160200000
2015,"Mutual Fund Investing platform",160200000
2015,"Credit Management Services",160200000
2015,"Flat rental Mobile App",160200000
2015,"Hyperlocal Maintenance, Repair & Cleaning services",153792000
2015,"Medical Tech Instruments",153792000
2015,"Business intelligence & Analytics",153792000
2015,"Restaurant customer engagement platform",147384000
2015,"Digital & Physical Publishing platform",144180000
2015,"Photographer Online search & booking platform",140976000
2015,"Travel Entertainment",140976000
2015,"Digital Healthcare",128160000
2015,"Home Cooked Food Order & Delivery platform",128160000
2015,"End to End reverse logistics Solution platform",128160000
2015,"Logistics Service Provider Marketplace",128160000
2015,"Sports Education Platform",128160000
2015,"Online content platform for women",128160000
2015,"Online Furniture, Home Appliances Rental Platform",128160000
2015,"Self Driven Rental Car Platform",128160000
2015,"Product discovery & recommendation platform",128160000
2015,"Home Cooked Food marketplace & Delivery",128160000
2015,"Competitive exam learning platform",128160000
2015,"Cloud-based Hotel Booking Platform",128160000
2015,"Online Insurance Distribution Platform",128160000
2015,"Solar Power Solutions company",128160000
2015,"Beauty & Lifestyle Mobile Marketplace",128160000
2015,"Hasbro Toy Manufacturer",128160000
2015,"Online Security Platform",128160000
2015,"Cloud Data Integration Platform",128160000
2015,"Mobile Laundry Cleaning Service",128160000
2015,"On-demand Service marketplace",128160000
2015,"Premium Beverages",128160000
2015,"Marketplace App for Bangkok",121752000
2015,"Online Grocery platform",115344000
2015,"Dairy Based Product Manufacturer",115344000
2015,"Last Minute Travel Deals mobile marketplace",115344000
2015,"Data Science & UX design Learning platform",108936000
2015,"Logistics Tech Platform",103168800
2015,"Quick Service Restaurant Chain",102528000
2015,"F&B sector Mobile Payment platform",102528000
2015,"Mobile Chat based concierge service",102528000
2015,"Hyperlocal Mobile Services Marketplace",102528000
2015,Micro-Brewery,98042400
2015,"Last Minute Hotel Booking App",96120000
2015,"Skill Training Startup",96120000
2015,"Mobile App based Loan disbursement platform",96120000
2015,"Wealth Management Platform",96120000
2015,"Private Coaching Centers",96120000
2015,"Two-Wheeler Taxi Service",92916000
2015,"Crowd funding platform",89712000
2015,"Health-Tech platform",83624400
2015,"On-Demand Delivery Logistics",83304000
2015,"Hyperlocal food & grocery store",83304000
2015,"Online Kitchen Furniture",80100000
2015,"Virtual Health consultation app",76896000
2015,"Electric Bike Manufacturers",76896000
2015,"Indian Ethnic Crafts Etailer",76896000
2015,"Mobile App testing platform",76896000
2015,"Cross-device retargeting platform",76896000
2015,"Innovative Water Solutions",76896000
2015,"OnDemandMobile Handyman Services",76896000
2015,"Online food ordering & Delivery service",73692000
2015,"Online Health & Wellness platform",73692000
2015,"Asset Financing platform",70488000
2015,"Online Education Information platform",64080000
2015,"Wedding Venues & Vendors Marketplace",64080000
2015,"visual search and discovery platform",64080000
2015,"Mobile Fitness App",64080000
2015,"Mobile Game development & Design platform",64080000
2015,"Grocery Delivery platform",64080000
2015,"Beauty and Wellness Marketplace",64080000
2015,"Hyperlocal healthcare product Delivery Service provider",64080000
2015,"Online Consumer Lending platform",64080000
2015,"Advertising & Marketing Community Networking platform",64080000
2015,"Mobile Only Shopping Assistant",64080000
2015,"Structural & Civil Engg Service Automation",64080000
2015,"Personalized Styling platform",64080000
2015,"pre-used apparel shopping mobile app",64080000
2015,"Chain of Tea CafÃ©â€™s",64080000
2015,"Online Meat Ordering platform",64080000
2015,"Budget Accommodation Platform",64080000
2015,"Digital Signal processing platform",64080000
2015,"mobile payment software platform",64080000
2015,"Deep Learning Cloud Algorithms",64080000
2015,"Corporate Wellness App",64080000
2015,"On-Demand App based Professional service provider",64080000
2015,"CRM / Analytics platform",64080000
2015,"Custom Merchandize platform",64080000
2015,"Organic Food ecommerce",64080000
2015,"Fitness Marketplace",64080000
2015,"Real Estate Broker network App",64080000
2015,"Online Fashion Video Portal",64080000
2015,"Video Intelligence Platform",64080000
2015,"Online Education Marketplace",64080000
2015,"Marketing / Advertising Automation platform",64080000
2015,"Online Product Comparison",64080000
2015,"Offline Tea Chain",64080000
2015,"Online Ed-Tech Platform",64080000
2015,"Online Home DÃ©cor",64080000
2015,"API Workflow platform",64080000
2015,"Location Based App",64080000
2015,"Online Hotel Booking",64080000
2015,"Auto Rickshaw based Logistics",64080000
2015,"Food Logistics & Delivery",64080000
2015,"Used Gadgets Buy / Refurbishing",64080000
2015,"Luxury goodsÂ  Shopping Platform",57672000
2015,"InteractiveÂ  How-To Guides",57672000
2015,"virtual reality, 3d simulation and stereoscopic products",51264000
2015,"Bike Rental Platform",50623200
2015,"Tech Platform for property brokers",50302800
2015,"Multilingual Test Preparation Platform",49341600
2015,"Career Community for Women",49341600
2015,"Job Search Platform",48700800
2015,"Artificial Intelligence platform",48060000
2015,"Bus Aggregation and rental mobile app",48060000
2015,"Exclusive Platform for Doctors & Healthcare professionals",44856000
2015,"Pre-School Chain",43894800
2015,"fund raising platform for startups",41652000
2015,"Affordable Education",41652000
2015,"residential rental management platform",41011200
2015,"Fast food Chain Franchisee",40370400
2015,"Hyperlocal Electronics repair Service",40370400
2015,"Customer Engagement Platform",40050000
2015,"Test Automation SAAS platform",38448000
2015,"Branded Food products online sales",38448000
2015,"Numerical Computing & Data Science Platform",38448000
2015,"Community Driven News/Views Platform",38448000
2015,"Online Food ordering & delivery",38448000
2015,"Online marketplace for Photographers",38448000
2015,"Visual Blogging platform",38448000
2015,"Warranty Programs Service Administration",38448000
2015,"Online Jewelry Store",38448000
2015,"Probiotic Technology Products Manufacturer",35244000
2015,"Workforce Management Software",35244000
2015,"character merchandize sales platform",34603200
2015,"Kids Tool kit for Innovation platform",33962400
2015,"Enterprise Marketing Automation platform",32040000
2015,"Digital Analytics Platform",32040000
2015,"Internet Network Infrastructure Services",32040000
2015,"Medical Consultation & Doctor appointment booking platform",32040000
2015,"Mobile Car Servicing appointment app",32040000
2015,"Budget Hotels Aggregator",32040000
2015,"Mobile Growth HackingPlatform",32040000
2015,"Auto Insurance Online platform",32040000
2015,"Smartwatch Maker",32040000
2015,"Job Board",32040000
2015,"QSR & Online delivery portal",32040000
2015,"Professionals & Project Search Marketplace",32040000
2015,"hotel booking app",32040000
2015,"App securityÂ  testing platform",32040000
2015,"Loyalty Programs & Reward Points",32040000
2015,"Taxi Rental platform",32040000
2015,"Ecommerce Marketing Software Platform",32040000
2015,"Online Food Community Platform",32040000
2015,"Tech enabled logistics platform",32040000
2015,"Hyperlocal Grocery App",32040000
2015,"Architectural Design & Consulting",32040000
2015,"Renewable energy solutions",32040000
2015,"Intra-City Logistics service",32040000
2015,"Online Coupon & comparison platform",32040000
2015,"Video Advertisement Platform",32040000
2015,"App Analytics platform",32040000
2015,"Online Table Reservation",32040000
2015,"Parents focused Web Content",32040000
2015,"business expense management",32040000
2015,"Hiring Analytics platform",32040000
2015,"Event Ticketing platform",31399200
2015,"Online Food-Tech Platform",30117600
2015,"Health Mobile App",30117600
2015,"Online Vehicle Spare Parts etailer",29476800
2015,"Online Jewellery etailer",29156400
2015,"Public Commute helper App",28836000
2015,"B2B Mobile Auction Marketplace",28836000
2015,"Wedding Planning Platform",26272800
2015,"Online Counselling and psychological support platform",25632000
2015,"Online Student & Campus Social Networking platform",25632000
2015,"Government Test Preparation platform",25632000
2015,"Online Interior Designing platform",25632000
2015,"Employee OnBoarding & Orientation platform",25632000
2015,"Restaurant Discount app",25632000
2015,"Professional Service Appointment booking service",25632000
2015,"On-Demand Beauty Service",25632000
2015,"Interactive Educational Games",25632000
2015,"Financial Markets Software",25632000
2015,"Custom Furniture Marketplace",25311600
2015,"Quick Service Restaurant & Online Delivery",24670800
2015,"Picture creation & Social mobile app",22428000
2015,"Movie-on-demand platform",22428000
2015,"Professional Health Services Platform",22428000
2015,"Real Estate Broker Platform App",22428000
2015,"Healthy Food Online Community",22428000
2015,"Preventive Healthcare Services",22428000
2015,"Mobile Compression Software",22428000
2015,"Restaurant Management Platform",22428000
2015,"Online Loans Marketplace",20505600
2015,"Online Grocers",20505600
2015,"Non Profit Organization to alleviate poverty",20185200
2015,"Internet of Things platform",19928880
2015,"on-demand delivery service",19864800
2015,"B2B Merchandize platform",19416240
2015,"Online Food ordering & Delivery platform",19224000
2015,"Mobile Learning Solutions",19224000
2015,"on-demand healthcare marketplace",19224000
2015,"Branded Budget Hotel Marketplace",19224000
2015,"Private Label Apparel sales",19224000
2015,"Food Customer analytics platform",19224000
2015,"Online Coffee Delivery platform",19224000
2015,"Physical Storage warehouses",19224000
2015,Ed-Tech,19224000
2015,"Online Job skills Showcase",17301600
2015,"Smart Safety Wearable Devices",16020000
2015,"Digital Intelligent learning platform",16020000
2015,"Cricket Management Mobile Game",16020000
2015,"Health and Beauty Services Marketplace",16020000
2015,"Hotel Aggregator & booking platform",16020000
2015,"mobile social network",16020000
2015,"Online printing marketplace",16020000
2015,"Professional Custom creators Marketplace",16020000
2015,"Bespoke Merchandize Marketplace",16020000
2015,"Peer to Peer Lending platform",16020000
2015,"Career Development",16020000
