Startupname,InvestorsName,IndustryVertical,Amount_in_Usd
Ethinos,"Triton Investment Advisors",Technology,Undiscloused
"Leverage Edu","Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose","Consumer Internet",Undiscloused
Minjar,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Technology,Undiscloused
MyCity4kids,,"Consumer Internet",Undiscloused
Upwardly.in,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures","Consumer Internet",Undiscloused
"Design Cafe","Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital","Consumer Internet",Undiscloused
VDeliver,"Corvus Ventures, MAPE Advisory Group",Logistics,Undiscloused
Bottr.me,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Technology,Undiscloused
Arcatron,"Indian Angel Network",Technology,Undiscloused
MObiquest,"One97 Communication Ltd",Technology,Undiscloused
Ambee,"Uber Technologies Inc, Amaya Capital LLP","Consumer Internet",Undiscloused
"Ideal Insurance",Xelpmoc,"Consumer Internet",Undiscloused
"Hypernova Interactive","Kae Capital",Technology,Undiscloused
AirCTO,"Francesco Cara","Consumer Internet",Undiscloused
FableStreet,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",eCommerce,Undiscloused
"Monsoon Fintech","Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Technology,Undiscloused
MonkeyBox,"Blume Ventures, NB Ventures, Nspira","Consumer Internet",Undiscloused
"Creatorâ€™s Gurukul","Yuvraj Singh",Others,Undiscloused
Jhakaas,"Amen Dhyllon","Consumer Internet",Undiscloused
Gympik.com,"RoundGlass Partners","Consumer Internet",Undiscloused
Tripeur,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Technology,Undiscloused
RentOnGo,"TVS Motor Company",eCommerce,Undiscloused
